taxon,life_stage,lat,lon,country_code_XXX,location,body_dimension,length_mm
Chironominae,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironominae,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironominae,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironominae,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomini,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomus,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomus,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomus,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomus,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Chironomus,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,3.2
Culicidae,pupa,8.79037,-3.7672,CIV,Comoe_National_Park,BL,5.95
Anopheles,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,6.19
Aedes,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,6.19
Aedes vexans,larva,8.79037,-3.7672,CIV,Comoe_National_Park,BL,6.19
Aedes,pupa,8.79037,-3.7672,CIV,Comoe_National_Park,BL,5.95
Culex,pupa,8.79037,-3.7672,CIV,Comoe_National_Park,BL,5.95
Macrothrix,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,0.415
Macrothrix breviseta,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,0.415
Pleuroxus,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,0.52
Diaphanosoma excisum,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.03
Diaphanosoma,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.09
Mesostoma,none,8.79037,-3.7672,CIV,Comoe_National_Park,BL,0.32
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Ostracoda,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.34
Nematoda,none,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.47
Nematoda,none,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.47
Nematoda,none,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.47
Nematoda,none,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.47
Micronectidae,adult,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.9
Micronectidae,nymph,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.9
Micronectidae,nymph,8.79037,-3.7672,CIV,Comoe_National_Park,BL,1.9
Culiseta longiareolata,pupa,-30.20086,17.939,ZAF,Kamiesberge,BL,6.1
Ceratopogonidae,pupa,-30.20086,17.939,ZAF,Kamiesberge,BL,3.48
Dasyhelea,larva,-30.20086,17.939,ZAF,Kamiesberge,BL,6.92
Dasyhelea,pupa,-30.20086,17.939,ZAF,Kamiesberge,BL,3.48
Dasyhelea,pupa,-30.20086,17.939,ZAF,Kamiesberge,BL,3.48
Macrothrix,adult,-30.20086,17.939,ZAF,Kamiesberge,BL,1.16
